interp_domain_loss,interp_boundary_loss,interp_comb_loss,extrap_domain_loss,extrap_boundary_loss,extrap_comb_loss,interp_l2,extrap_l2
0.0191625226289033,0.0038423279765993,0.023004850372672,0.2788309454917907,0.0039108195342123,0.2827417552471161,0.004278270527720451,0.0024782719556242228
0.0139973936602473,0.0048103737644851,0.0188077669590711,0.195295512676239,0.0044141062535345,0.1997096240520477,0.005037297960370779,0.0036042234860360622
0.0344159044325351,0.0091651594266295,0.0435810647904872,0.8269541263580322,0.0092850960791111,0.836239218711853,0.011562499217689037,0.002426866441965103
0.0030015932861715,0.0006182480137795,0.003619841299951,0.1036621481180191,0.0006752562476322,0.1043374016880989,0.0006688078865408897,0.0002739095943979919
0.0070479759015142,0.0020093512721359,0.0090573271736502,0.2344676256179809,0.0020789694972336,0.236546590924263,0.0017386203398928046,0.0005844752304255962
0.0073404251597821,0.0022972107399255,0.0096376361325383,0.0360573418438434,0.0022987339179962,0.0383560769259929,0.002339431317523122,0.00023218398564495146
0.0032733904663473,0.0033674109727144,0.0066408012062311,0.0610023997724056,0.003358575515449,0.0643609762191772,0.008662017062306404,0.017596585676074028
0.0340733230113983,0.0105122560635209,0.0445855781435966,0.2438246756792068,0.009879452176392,0.2537041306495666,0.01181501243263483,0.00185955292545259
0.0147636029869318,0.0036164543125778,0.018380057066679,0.1078405976295471,0.0035469215363264,0.1113875210285186,0.0028315344825387,0.000434781308285892
0.0155357588082551,0.0022673918865621,0.0178031511604785,0.3174913227558136,0.0022777819540351,0.3197691142559051,0.0018437860999256372,0.0023475924972444773
