interp_domain_loss,interp_boundary_loss,interp_comb_loss,extrap_domain_loss,extrap_boundary_loss,extrap_comb_loss,interp_l2,extrap_l2
0.0042672590352594,0.0004167781444266,0.0046840370632708,1.550033450126648,0.0004700848658103,1.550503492355347,0.0005996578256599605,0.005436593666672707
0.0033318584319204,0.00035928649595,0.0036911449860781,1.2300679683685305,0.0003725538845174,1.2304404973983765,0.0012077350402250886,0.005183960311114788
0.0052452753297984,0.0006505001801997,0.0058957757428288,3.934693336486816,0.0006869789795018,3.935380220413208,0.0004754915426019579,0.015938179567456245
0.0038564766291528,0.0014546639285981,0.0053111407905817,1.415967345237732,0.0014701281907036,1.4174374341964722,0.0003893501707352698,0.004748922772705555
0.0029623911250382,0.0003934159176424,0.003355807159096,2.401012420654297,0.0003827059117611,2.401395082473755,0.000496210646815598,0.010586987249553204
0.0044798161834478,0.0005194047116674,0.0049992208369076,2.944619417190552,0.000545717892237,2.9451651573181152,0.001384731731377542,0.005516720935702324
0.0043510533869266,0.0012038546847179,0.0055549079552292,2.0693764686584473,0.0011609036009758,2.0705373287200928,0.0005356687470339239,0.011197000741958618
0.0031531974673271,0.0003779050894081,0.0035311025567352,2.539017915725708,0.0003913431137334,2.5394091606140137,0.0008837134228087962,0.005093228537589312
0.0022582642268389,0.0005489293253049,0.0028071934357285,2.6985511779785156,0.0005443077534437,2.6990954875946045,0.0010190422181040049,0.004682155326008797
0.0054448996670544,0.0015502074966207,0.0069951070472598,1.2694202661514282,0.0015499454457312,1.2709702253341677,0.0006666553672403097,0.022544335573911667
