interp_domain_loss,interp_boundary_loss,interp_comb_loss,extrap_domain_loss,extrap_boundary_loss,extrap_comb_loss,interp_l2,extrap_l2
0.0299592558294534,0.0477840863168239,0.0777433440089225,0.0747294351458549,0.0465772151947021,0.1213066503405571,0.06016554310917854,0.032327812165021896
0.0319468155503273,0.0528024658560752,0.0847492814064025,0.0497463457286357,0.0534472540020942,0.1031935960054397,0.06238526105880737,0.0346190519630909
0.0284724850207567,0.0466668717563152,0.0751393586397171,0.0713906437158584,0.0467598736286163,0.1181505173444747,0.06811236590147018,0.03606567531824112
0.0294968839734792,0.0552830919623374,0.0847799777984619,0.0454541519284248,0.0541997253894805,0.0996538773179054,0.07598913460969925,0.042431265115737915
0.0336885787546634,0.0528842397034168,0.0865728184580802,0.0510175228118896,0.0525646805763244,0.1035822033882141,0.06789606809616089,0.0389576181769371
0.0303883124142885,0.048442605882883,0.0788309201598167,0.072865255177021,0.0489912889897823,0.121856540441513,0.07819918543100357,0.04119463637471199
0.0268141273409128,0.0467932969331741,0.0736074224114418,0.0676299706101417,0.0445499531924724,0.1121799200773239,0.07754338532686234,0.04257557913661003
0.0274825859814882,0.0479619093239307,0.0754444971680641,0.0611873492598533,0.0467279776930809,0.1079153269529342,0.07033183425664902,0.03826203569769859
0.0309453979134559,0.0421845391392707,0.0731299370527267,0.0624290406703949,0.042231049388647,0.1046600937843322,0.06436701864004135,0.031295012682676315
0.0313662588596344,0.0444220975041389,0.0757883563637733,0.0586469247937202,0.0441206991672515,0.1027676239609718,0.0671549141407013,0.035538505762815475
