interp_domain_loss,interp_boundary_loss,interp_comb_loss,extrap_domain_loss,extrap_boundary_loss,extrap_comb_loss,grad1,grad2,grad3
0.005412350874394178,0.011967522092163563,0.017379872500896454,1.6652461290359497,0.012313617393374443,1.677559733390808,2,6033,3965
0.00775629049167037,0.012862402014434338,0.02061869204044342,12.746251106262207,0.01281741913408041,12.759068489074707,30,5951,4019
0.011944830417633057,0.039467260241508484,0.05141209065914154,2.833838701248169,0.03818801790475845,2.8720266819000244,17,6756,3227
0.01084281038492918,0.011668367311358452,0.022511176764965057,1.4431958198547363,0.01189115084707737,1.4550869464874268,6,6821,3173
0.008257954381406307,0.02157188020646572,0.029829833656549454,2.147521495819092,0.021520154550671577,2.169041633605957,12,5581,4407
0.016800710931420326,0.017667517066001892,0.03446822613477707,3.991604804992676,0.01803578995168209,4.009640693664551,8,5942,4050
0.019751764833927155,0.01094716228544712,0.030698927119374275,3.771941900253296,0.010701244696974754,3.7826430797576904,6,6411,3583
0.010519455187022686,0.01793542318046093,0.02845487743616104,3.4925992488861084,0.018013520166277885,3.510612726211548,61,6866,3073
0.016040682792663574,0.014711822383105755,0.030752506107091904,3.3675315380096436,0.014861560426652431,3.3823931217193604,8,4936,5056
0.013657063245773315,0.020664051175117493,0.03432111442089081,1.44716215133667,0.018515219911932945,1.4656773805618286,49,7180,2771
0.19733498990535736,0.0402284599840641,0.23756344616413116,7.087844371795654,0.039529260247945786,7.127373695373535,2,6330,3668
0.004215662367641926,0.01352731790393591,0.017742980271577835,9.030121803283691,0.013666750863194466,9.04378890991211,23,6264,3713
0.006250874139368534,0.0119736073538661,0.018224481493234634,3.005283832550049,0.012568678706884384,3.017852544784546,26,4506,5468
0.003929849714040756,0.00383921735920012,0.0077690668404102325,3.734440326690674,0.004544852767139673,3.738985061645508,2,5886,4112
0.14870336651802063,0.0012373054632917047,0.14994066953659058,3.3947272300720215,0.0027577332220971584,3.3974850177764893,6,6425,3569
0.021698029711842537,0.025417577475309372,0.04711560904979706,9.416385650634766,0.026191268116235733,9.442577362060547,5,6373,3622
0.0028278608806431293,0.010396660305559635,0.013224521651864052,7.179476737976074,0.010335302911698818,7.189812183380127,17,6649,3334
0.006630802992731333,0.010768517851829529,0.017399320378899574,4.968495845794678,0.01076974906027317,4.9792656898498535,2,6168,3830
0.002126489533111453,0.012774171307682991,0.014900661073625088,6.126710891723633,0.013059768825769424,6.1397705078125,14,6075,3911
0.007257359102368355,0.004069663118571043,0.011327022686600685,17.86521339416504,0.010758262127637863,17.8759708404541,28,4438,5534
0.0042957160621881485,0.01017666794359684,0.014472384005784988,3.654210090637207,0.010065957903862,3.664276123046875,7,6928,3065
0.012786546722054482,0.012757721357047558,0.025544267147779465,63.225894927978516,0.4252198338508606,63.65111541748047,5,4893,5102
0.005451860837638378,0.016871603205800056,0.02232346311211586,4.315705299377441,0.016962958499789238,4.332668304443359,29,7161,2810
0.03245483338832855,0.042722512036561966,0.07517734169960022,0.37509962916374207,0.04273428022861481,0.41783392429351807,4,6216,3780
1.3624958228319883e-06,0.4007844030857086,0.40078577399253845,1.2037500027872738e-06,0.39438363909721375,0.39438483119010925,43,6557,3400
0.021478015929460526,0.00780875701457262,0.02928677201271057,6.145789623260498,0.04753074795007706,6.193320274353027,12,5207,4781
0.014044409617781639,0.013208183459937572,0.027252592146396637,593.9083251953125,0.2668282091617584,594.1751708984375,19,6708,3273
0.018578805029392242,0.019426923245191574,0.038005728274583817,1.0112053155899048,0.019956102594733238,1.0311614274978638,13,4888,5099
0.02915911190211773,0.031160054728388786,0.060319166630506516,2.707056999206543,0.030610064044594765,2.7376670837402344,4,5763,4233
0.007452137768268585,0.010885754600167274,0.01833789236843586,146.21705627441406,0.1425517052412033,146.35960388183594,15,6896,3089
0.006277100183069706,0.022481681779026985,0.028758782893419266,2.4495809078216553,0.02256058156490326,2.4721415042877197,26,6581,3393
0.011632337234914303,0.022743798792362213,0.03437613695859909,1.3990180492401123,0.022245684638619423,1.4212636947631836,41,5680,4279
0.005983670242130756,0.007973745465278625,0.013957415707409382,6.043707370758057,0.00887406524270773,6.052581310272217,24,6994,2982
0.010676032863557339,0.01722165197134018,0.027897685766220093,1.3452839851379395,0.017167983576655388,1.3624519109725952,40,6629,3331
0.011345329694449902,0.007974125444889069,0.019319456070661545,6.977289199829102,0.19228215515613556,7.169571399688721,2925,4889,2186
0.002788043115288019,0.008436297997832298,0.01122434064745903,6.586858749389648,0.008397155441343784,6.5952558517456055,5,6275,3720
0.005978526081889868,0.013370512053370476,0.01934903860092163,4.651190757751465,0.013225529342889786,4.664416313171387,14,6903,3083
0.004121277015656233,0.007226524408906698,0.011347801424562931,9.868431091308594,0.007327660918235779,9.87575912475586,7,6296,3697
0.13818684220314026,0.016294991597533226,0.15448182821273804,1.7624921798706055,0.02397705428302288,1.7864692211151123,2,5701,4297
0.009095103479921818,0.017018642276525497,0.02611374482512474,6.0392866134643555,0.016902239993214607,6.056189060211182,190,6776,3034
0.07582134753465652,0.013283545151352882,0.08910489082336426,10.047386169433594,0.012870486825704575,10.060256958007812,1,6140,3859
0.002679022727534175,0.012763643637299538,0.015442666597664356,9.817869186401367,0.012672477401793003,9.830541610717773,20,6616,3364
0.02068692445755005,0.008775312453508377,0.029462236911058426,4.047212600708008,0.008979168720543385,4.056191921234131,30,6548,3422
0.00676913233473897,0.013135802932083607,0.019904935732483864,5.2432332038879395,0.019359974190592766,5.2625932693481445,15,6668,3317
