interp_domain_loss,interp_boundary_loss,interp_comb_loss,extrap_domain_loss,extrap_boundary_loss,extrap_comb_loss
0.0004334221302997321,0.00021009314514230937,0.0006435152608901262,4.135887145996094,0.0002816873893607408,4.136168956756592
0.00023745321959722787,0.0001644647854845971,0.0004019180196337402,4.041017055511475,0.0001931844453793019,4.041210174560547
0.0008268306846730411,0.00011209725198568776,0.0009389279293827713,4.599853038787842,0.00012240311480127275,4.5999755859375
0.013748936355113983,0.024336261674761772,0.038085199892520905,2.308426856994629,0.02487165853381157,2.333298444747925
0.00015149118553381413,0.00010679123079171404,0.00025828240904957056,3.202693223953247,0.00016720997518859804,3.2028603553771973
0.0007126896525733173,0.00020736613078042865,0.0009200557833537459,3.3347272872924805,0.00020787844550795853,3.334935188293457
0.0008108668262138963,0.00043788013863377273,0.0012487469939514995,4.701296329498291,0.0005485581932589412,4.701844692230225
0.00035401343484409153,0.0001498163037467748,0.0005038297385908663,4.524887561798096,0.00015486091433558613,4.525042533874512
0.00036729121347889304,9.437254630029202e-05,0.00046166375977918506,4.0569000244140625,0.00010498993651708588,4.057004928588867
0.0012359855463728309,0.00025708478642627597,0.001493070274591446,4.239218711853027,0.0002787423727568239,4.239497661590576
0.0003558141179382801,0.00020200986182317138,0.0005578239797614515,6.315047264099121,0.00023713624977972358,6.315284252166748
0.0011743215145543218,0.0003196192847099155,0.0014939408283680677,5.698115825653076,0.0003054866974707693,5.698421478271484
0.00029106589499861,7.622244447702542e-05,0.0003672883321996778,4.066135406494141,0.00010832606494659558,4.066243648529053
0.0006452819798141718,0.0006300826207734644,0.0012753645423799753,2.921922445297241,0.0006564081413671374,2.922578811645508
0.0004412093257997185,0.00021979115263093263,0.0006610004929825664,6.266204357147217,0.0003230082511436194,6.26652717590332
0.001719418098218739,0.0003973112616222352,0.002116729272529483,6.272186756134033,0.0004068080452270806,6.2725934982299805
0.00015078276919666678,8.305001392727718e-05,0.00023383277584798634,3.8541581630706787,0.00014003034448251128,3.8542981147766113
0.0022683681454509497,0.00032498696236871183,0.00259335502050817,2.2898082733154297,0.00037454470293596387,2.2901828289031982
0.000236166815739125,0.00011952889326494187,0.0003556957235559821,2.924342155456543,0.00012678245548158884,2.924468994140625
0.0013410111423581839,0.00027170649264007807,0.001612717634998262,3.70695424079895,0.00028647275757975876,3.7072408199310303
0.001080877031199634,0.0001616904919501394,0.001242567552253604,3.7194793224334717,0.0001953640894498676,3.719674587249756
0.000559302163310349,0.00019157532369717956,0.0007508774870075285,3.389040231704712,0.0001763546169968322,3.389216661453247
0.00015341567632276565,9.74877766566351e-05,0.00025090345297940075,5.022667407989502,0.0001191793053294532,5.022786617279053
0.0014141511637717485,0.0029063343536108732,0.004320485517382622,7.15744686126709,0.0029794753063470125,7.160426139831543
0.000238443972193636,0.000119252254080493,0.0003576962335500866,3.428345203399658,0.00015495435218326747,3.428500175476074
0.0013338697608560324,0.0002766889228951186,0.0016105587128549814,5.088997840881348,0.00038829067489132285,5.089385986328125
0.0017345844535157084,0.00031701941043138504,0.0020516039803624153,4.810863494873047,0.0003004494355991483,4.811163902282715
0.002714604837819934,0.0003493011463433504,0.0030639059841632843,4.431060314178467,0.00035887910053133965,4.431419372558594
0.001606191392056644,0.0001766613422660157,0.001782852690666914,3.2704970836639404,0.00041795350261963904,3.2709150314331055
0.00028356685652397573,0.00010492662113392726,0.00038849347038194537,5.66618013381958,0.0001973768521565944,5.666377544403076
0.00028759497217833996,0.00013467218377627432,0.0004222671559546143,2.8423707485198975,0.00016130034055095166,2.842532157897949
0.0005327630206011236,0.00014392510638572276,0.0006766881560906768,3.638288736343384,0.00014345139788929373,3.638432264328003
0.0003725689894054085,0.00013041232887189835,0.0005029813037253916,5.690189838409424,0.00015994142449926585,5.690349578857422
0.0001511333539383486,0.00011603654274949804,0.00026716990396380424,2.874901056289673,0.00023705158673692495,2.8751380443573
0.00021853703947272152,0.00012487803178373724,0.00034341507125645876,2.3307154178619385,0.00017013770411722362,2.330885648727417
0.00023548192984890193,9.817577665671706e-05,0.0003336577210575342,5.111934185028076,0.00011255319259362295,5.112046718597412
0.00021177806775085628,0.00016086858522612602,0.0003726466675288975,4.481533050537109,0.00018469906353857368,4.481717586517334
0.0034504863433539867,0.0006860371795482934,0.004136523697525263,5.898104190826416,0.0007107171695679426,5.898814678192139
0.00015931732195895165,0.00013036462769377977,0.0002896819496527314,5.121428489685059,0.00024364865384995937,5.1216721534729
0.00020508398301899433,0.0001208287212648429,0.0003259126970078796,2.943331718444824,0.00021925261535216123,2.9435510635375977
0.0025823332834988832,0.0017621245933696628,0.004344457760453224,3.8626582622528076,0.0018694436876103282,3.864527702331543
0.0009298850200138986,0.0007595160277560353,0.001689400989562273,3.005300760269165,0.0007403367781080306,3.0060410499572754
0.00016518158372491598,9.559127647662535e-05,0.0002607728529255837,6.134859085083008,0.0004370237875264138,6.13529634475708
0.0012015486136078835,0.00014469539746642113,0.0013462440110743046,4.935238361358643,0.00014264154015108943,4.935380935668945
0.0002972409129142761,0.00013054329610895365,0.000427784223575145,3.358978509902954,0.0002272346755489707,3.359205722808838
0.001065343152731657,0.00026376539608463645,0.0013291086070239544,3.9134342670440674,0.000294367375317961,3.913728713989258
0.0006975616561248899,0.000180226779775694,0.0008777884067967534,3.420215129852295,0.00017785673844628036,3.4203929901123047
0.0013298519188538194,0.0002994471287820488,0.0016292990185320377,4.657188415527344,0.00033863738644868135,4.657526969909668
